iter	Passed	Remaining
643	409993	226642
644	410625	226003
645	411244	225356
646	411822	224688
647	412357	223996
648	413011	223369
649	413556	222684
650	414152	222026
651	414725	221356
652	415337	220707
653	415910	220038
654	416536	219397
655	417177	218763
656	417795	218118
657	418426	217480
658	419046	216836
659	419688	216203
660	420329	215569
661	421004	214954
662	421590	214292
663	422138	213612
664	422826	213002
665	423478	212375
666	424029	211697
667	424627	211042
668	425415	210481
669	426035	209838
670	426750	209241
671	427399	208611
672	428082	207998
673	428670	207339
674	429388	206742
675	430017	206103
676	430714	205495
677	431330	204850
678	431893	204179
679	432467	203514
680	433025	202841
681	433684	202216
682	434251	201548
683	434827	200885
684	435438	200238
685	436039	199586
686	436639	198934
687	437226	198276
688	437798	197613
689	438381	196953
690	438964	196295
691	439554	195639
692	440113	194971
693	440713	194320
694	441301	193664
695	441944	193033
696	442528	192376
697	443136	191729
698	443686	191058
699	444262	190398
700	444833	189736
701	445427	189084
702	445999	188423
703	446652	187796
704	447241	187143
705	447853	186499
706	448417	185836
707	449105	185224
708	449734	184587
709	450408	183969
710	451220	183407
711	451778	182741
712	452332	182074
713	452945	181431
714	453519	180773
715	454076	180108
716	454652	179451
717	455225	178793
718	455834	178149
719	456393	177486
720	456941	176819
721	457487	176151
722	458022	175480
723	458602	174826
724	459165	174166
725	459722	173504
726	460325	172859
727	460932	172216
728	461502	171559
729	462061	170899
730	462691	170265
731	463287	169618
732	463862	168964
733	464512	168338
734	465095	167687
735	465669	167033
736	466244	166380
737	466840	165734
738	467474	165102
739	468210	164506
740	468823	163866
741	469608	163287
742	470300	162674
743	471127	162108
744	471728	161463
745	472287	160805
746	472920	160172
747	473464	159509
748	474131	158887
749	474864	158288
750	475465	157644
751	476121	157018
752	476694	156365
753	477381	155750
754	478066	155134
755	478748	154516
756	479412	153893
757	479993	153243
758	480604	152602
759	481281	151983
760	481828	151323
761	482342	150652
762	482955	150013
763	483539	149365
764	484132	148720
765	485077	148182
766	485830	147586
767	486468	146954
768	487039	146301
769	487692	145674
770	488356	145050
771	488912	144393
772	489558	143764
773	490114	143108
774	490693	142459
775	491254	141805
776	491857	141163
777	492435	140515
778	493048	139876
779	493595	139219
780	494226	138585
781	494852	137951
782	495501	137322
783	496368	136754
784	497053	136135
785	497845	135545
786	498527	134925
787	499267	134320
788	499909	133689
789	500596	133070
790	501301	132455
791	502104	131865
792	502657	131210
793	503194	130551
794	503789	129908
795	504390	129265
796	504998	128625
797	505671	128002
798	506354	127380
799	506997	126749
800	507568	126100
801	508164	125457
802	508791	124821
803	509401	124182
804	509999	123540
805	510618	122903
806	511514	122332
807	512102	121687
808	512707	121047
809	513311	120406
810	513929	119768
811	514518	119124
812	515062	118470
813	515916	117887
814	516496	117241
815	517128	116607
816	517846	115992
817	518614	115388
818	519382	114784
819	520102	114168
820	520770	113541
821	521746	112981
822	522517	112376
823	523318	111776
824	523941	111139
825	524691	110528
826	525343	109896
827	526080	109282
828	526810	108666
829	527484	108039
830	528108	107401
831	528807	106778
832	529460	106146
833	530069	105505
834	530708	104870
835	531436	104253
836	531965	103596
837	532584	102957
838	533168	102312
839	533771	101670
840	534346	101023
841	534985	100389
842	535654	99760
843	536604	99182
844	537237	98546
845	537881	97912
846	538503	97273
847	539204	96649
848	539871	96019
849	540492	95381
850	541227	94762
851	542008	94151
852	542728	93529
853	543325	92886
854	544026	92261
855	544654	91624
856	545201	90972
857	545713	90316
858	546252	89664
859	547124	89066
860	547713	88422
861	548338	87785
862	548876	87133
863	549422	86483
864	550023	85841
865	550567	85191
866	551139	84546
867	551813	83916
868	552417	83275
869	553008	82633
870	553659	82000
871	554252	81358
872	554958	80732
873	555793	80125
874	556504	79500
875	557136	78864
876	557750	78224
877	558415	77593
878	558968	76945
879	559537	76300
880	560207	75669
881	560836	75032
882	561509	74401
883	562213	73774
884	562869	73141
885	563455	72498
886	564131	71867
887	564704	71224
888	565380	70593
889	565975	69952
890	566511	69303
891	567062	68657
892	567731	68026
893	568291	67381
894	568838	66735
895	569404	66091
896	569956	65446
897	570505	64801
898	571087	64159
899	571714	63523
900	572282	62881
901	572797	62232
902	573384	61592
903	574054	60961
904	574636	60320
905	575199	59678
906	575819	59042
907	576420	58403
908	577028	57766
909	577621	57127
910	578334	56500
911	579078	55875
912	579712	55240
913	580528	54622
914	581108	53982
915	581741	53347
916	582283	52703
917	582892	52066
918	583536	51432
919	584109	50792
920	584740	50156
921	585314	49516
922	585927	48880
923	586721	48258
924	587628	47645
925	588391	47020
926	589131	46393
927	589756	45757
928	590507	45130
929	591100	44491
930	591681	43851
931	592263	43212
932	592826	42571
933	593367	41929
934	593945	41290
935	594561	40653
936	595167	40016
937	595922	39389
938	596524	38751
939	597107	38113
940	597697	37475
941	598274	36836
942	598808	36195
943	599372	35555
944	600048	34923
945	600612	34284
946	601204	33647
947	601765	33008
948	602331	32369
949	602940	31733
950	603498	31095
951	604153	30461
952	604762	29825
953	605347	29188
954	605938	28552
955	606524	27915
956	607081	27277
957	607702	26642
958	608277	26005
959	609076	25378
960	609778	24746
961	610359	24109
962	611018	23476
963	611575	22838
964	612173	22203
965	612729	21566
966	613344	20931
967	613902	20294
968	614519	19659
969	615154	19025
970	615749	18390
971	616318	17754
972	616946	17119
973	617655	16487
974	618214	15851
975	618780	15215
976	619342	14580
977	619975	13946
978	620580	13311
979	621204	12677
980	621843	12043
981	622513	11410
982	623045	10774
983	623634	10140
984	624268	9506
985	624824	8871
986	625396	8237
987	626178	7605
988	626798	6971
989	627348	6336
990	628085	5704
991	628741	5070
992	629351	4436
993	629976	3802
994	630543	3168
995	631161	2534
996	631731	1900
997	632345	1267
998	632992	633
999	633591	0
